site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2020,18-39,Male,Black,Not Hispanic or Latino,451,33,
UCMC,all_icu_adult,2020,18-39,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,NHPI,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,Other/Unknown,Hispanic or Latino,49,<10,
UCMC,all_icu_adult,2020,18-39,Male,Other/Unknown,Not Hispanic or Latino,19,<10,
UCMC,all_icu_adult,2020,18-39,Male,Other/Unknown,Unknown,17,<10,
UCMC,all_icu_adult,2020,18-39,Male,White,Hispanic or Latino,18,<10,
UCMC,all_icu_adult,2020,18-39,Male,White,Not Hispanic or Latino,95,<10,
UCMC,all_icu_adult,2020,40-64,Female,Asian,Not Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2020,40-64,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Female,Black,Not Hispanic or Latino,689,88,
UCMC,all_icu_adult,2020,40-64,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,40-64,Female,Other/Unknown,Hispanic or Latino,25,<10,
UCMC,all_icu_adult,2020,40-64,Female,Other/Unknown,Not Hispanic or Latino,20,<10,
UCMC,all_icu_adult,2020,40-64,Female,Other/Unknown,Unknown,12,<10,
UCMC,all_icu_adult,2020,40-64,Female,White,Hispanic or Latino,22,<10,
UCMC,all_icu_adult,2020,40-64,Female,White,Not Hispanic or Latino,208,23,
UCMC,all_icu_adult,2020,40-64,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,Asian,Not Hispanic or Latino,21,<10,
UCMC,all_icu_adult,2020,40-64,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,Black,Not Hispanic or Latino,794,97,
UCMC,all_icu_adult,2020,40-64,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,40-64,Male,Other/Unknown,Hispanic or Latino,63,10,
UCMC,all_icu_adult,2020,40-64,Male,Other/Unknown,Not Hispanic or Latino,47,<10,
UCMC,all_icu_adult,2020,40-64,Male,Other/Unknown,Unknown,26,<10,
UCMC,all_icu_adult,2020,40-64,Male,White,Hispanic or Latino,31,<10,
UCMC,all_icu_adult,2020,40-64,Male,White,Not Hispanic or Latino,339,39,
UCMC,all_icu_adult,2020,40-64,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,Black,Not Hispanic or Latino,373,71,
UCMC,all_icu_adult,2020,65-74,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2020,65-74,Female,White,Hispanic or Latino,15,<10,
UCMC,all_icu_adult,2020,65-74,Female,White,Not Hispanic or Latino,174,21,
UCMC,all_icu_adult,2020,65-74,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2020,65-74,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Male,Asian,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2020,65-74,Male,Black,Not Hispanic or Latino,421,76,
UCMC,all_icu_adult,2020,65-74,Male,Black,Unknown,<10,<10,
