site_name,population_id,admit_year,age_band,sex_group,state_fips,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2024,18-39,Male,12,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Male,17,132,33,
UCMC,sepsis_ase_icu,2024,18-39,Male,18,20,<10,
UCMC,sepsis_ase_icu,2024,18-39,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,04,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,05,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,17,239,79,
UCMC,sepsis_ase_icu,2024,40-64,Female,18,42,15,
UCMC,sepsis_ase_icu,2024,40-64,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,39,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,48,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,02,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,04,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,17,343,116,
UCMC,sepsis_ase_icu,2024,40-64,Male,18,48,12,
UCMC,sepsis_ase_icu,2024,40-64,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,29,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,39,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,42,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,53,<10,<10,
UCMC,sepsis_ase_icu,2024,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Female,06,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Female,12,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Female,17,187,63,
UCMC,sepsis_ase_icu,2024,65-74,Female,18,17,<10,
UCMC,sepsis_ase_icu,2024,65-74,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Female,39,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Male,17,211,87,
UCMC,sepsis_ase_icu,2024,65-74,Male,18,23,<10,
UCMC,sepsis_ase_icu,2024,65-74,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Male,40,<10,<10,
UCMC,sepsis_ase_icu,2024,65-74,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2024,75+,Female,17,159,72,
UCMC,sepsis_ase_icu,2024,75+,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2024,75+,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2024,75+,Male,17,141,58,
UCMC,sepsis_ase_icu,2024,75+,Male,18,22,<10,
UCMC,sepsis_ase_icu,2024,75+,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2024,75+,Male,51,<10,<10,
